Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.094	0.01	1	0.02	0.014	4	-	0.015489	0.015625	0.017449	0.020022	0.022905	0.023781	0.025934	0.026943	0.026796	0.015124	0.0050943	0.003853	0.0024776	0.0008511	0.0005804	0.000074896	0.000015026
130	40	0.06	0.01	1	0.05	0.014	4	-	0.015741	0.017603	0.020361	0.023672	0.026801	0.027141	0.028754	0.029081	0.028429	0.01615	0.005406	0.0041733	0.0027196	0.00099775	0.00063084	0.000076257	0.000015029
130	40	0.094	0.01	1	0.05	0.014	4	-	0.012284	0.013114	0.015273	0.018088	0.021194	0.022424	0.0248	0.026045	0.026121	0.014846	0.0050254	0.0038138	0.0024586	0.00084635	0.000578	0.000074739	0.000015023
130	40	0.013	0.01	1	0.141	0.014	4	-	0.010986	0.015495	0.020175	0.025197	0.029289	0.029575	0.030809	0.030562	0.02958	0.017153	0.0057384	0.0045829	0.0030554	0.0012336	0.00070345	0.000077925	0.000015029
130	40	0.013	0.01	1	0.09	0.014	4	-	0.016283	0.020985	0.025486	0.030184	0.033654	0.03282	0.033329	0.032419	0.030915	0.017706	0.0058731	0.0046637	0.0030957	0.0012456	0.00070849	0.000078209	0.000015034
130	40	0.033	0.01	1	0.09	0.014	4	-	0.014061	0.017588	0.021414	0.025608	0.029141	0.029224	0.03048	0.030346	0.029393	0.016846	0.0056258	0.0044224	0.0029168	0.0011295	0.00067268	0.000077276	0.00001503
130	40	0.013	0.01	1	0.05	0.014	5	-	0.019519	0.023797	0.027547	0.031585	0.03413	0.031495	0.030851	0.028946	0.026644	0.013214	0.0033574	0.0025109	0.0015081	0.00051508	0.00026517	0.000040385	0.000015026
130	40	0.033	0.01	1	0.141	0.014	5	-	0.0068163	0.0098028	0.013307	0.017391	0.021143	0.021788	0.023314	0.023485	0.022753	0.011591	0.0030263	0.0022644	0.0013635	0.00045069	0.00024704	0.000039992	0.000015015
130	40	0.013	0.01	1	0.02	0.014	5	-	0.026525	0.030138	0.033009	0.036297	0.037939	0.034032	0.032687	0.030218	0.027511	0.013522	0.0034143	0.0025428	0.0015223	0.00051851	0.0002664	0.000040431	0.000015028
130	40	0.033	0.01	1	0.05	0.014	5	-	0.016201	0.019026	0.022112	0.025682	0.0285	0.027271	0.027629	0.026686	0.025043	0.012427	0.0031843	0.0023525	0.0014028	0.00045973	0.00025049	0.000040129	0.000015022
130	40	0.013	0.01	1	0.09	0.014	5	-	0.013197	0.017598	0.021843	0.02641	0.029762	0.028453	0.028586	0.027343	0.025534	0.012814	0.003283	0.0024691	0.0014893	0.00051055	0.00026354	0.000040324	0.000015022
130	40	0.094	0.01	1	0.05	0.014	5	-	0.0093288	0.0098693	0.011642	0.01409	0.016892	0.017847	0.019912	0.02092	0.020776	0.010313	0.0027106	0.0019299	0.0011264	0.00032796	0.00021134	0.000039373	0.000015012
130	40	0.013	0.01	1	0.141	0.014	5	-	0.008131	0.01212	0.016396	0.02117	0.025114	0.025054	0.02597	0.025443	0.024193	0.012323	0.0031907	0.0024167	0.0014658	0.00050483	0.00026148	0.000040246	0.000015018
130	40	0.094	0.01	1	0.09	0.014	5	-	0.0064141	0.0074263	0.0093741	0.011944	0.01489	0.016219	0.018515	0.019798	0.01993	0.010003	0.0026509	0.001898	0.0011126	0.00032523	0.0002101	0.000039315	0.000015009
130	40	0.094	0.01	1	0.02	0.014	5	-	0.01241	0.012245	0.013716	0.015965	0.018581	0.019182	0.021034	0.021806	0.021437	0.010551	0.0027563	0.0019542	0.0011369	0.00033003	0.00021228	0.000039416	0.000015015
