300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740
0.52,0.52102,0.52292,0.52523,0.52784,0.53091,0.535,0.54086,0.54757,0.55426,0.56,0.56422,0.57,0.58,0.59,0.6,0.61,0.63,0.66,0.67,0.68,0.78,0.82,0.88,0.91,0.93,0.97,1,1,0.97,0.94,0.92,0.91,0.9,0.87,0.83,0.79,0.77,0.75,0.71,0.66,0.64,0.61,0.58,0.52,0.5,0.47,0.44,0.41,0.38,0.35,0.32,0.29,0.27,0.27,0.26,0.29,0.27,0.28,0.24,0.23,0.27,0.25,0.26,0.27,0.29,0.31,0.33,0.33,0.32,0.35,0.38,0.44,0.53,0.59,0.54,0.5,0.42,0.32,0.26,0.21,0.16,0.11,0.07,0.04,0.03,0.02,0.01,0.01
